Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 5, 83.66519174041298%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 6, 84.75877192982456%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 7, 84.09420289855073%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 8, 84.33048433048434%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 9, 84.92231638418079%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 10, 84.2877094972067%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 11, 85.43956043956044%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 12, 84.39207650273224%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 13, 85.4054054054054%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 14, 86.2265415549598%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 15, 84.60526315789474%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 16, 85.47650130548303%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 17, 85.69121447028424%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 18, 85.59644670050761%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 19, 85.52631578947368%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 20, 86.25621890547264%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 21, 85.25798525798525%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 22, 84.63855421686746%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 23, 85.56085918854416%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 24, 85.75650118203309%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 25, 85.59718969555034%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 26, 85.44050343249427%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 27, 85.52036199095022%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 28, 86.26957494407159%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 29, 87.25328947368422%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 30, 85.98156182212581%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 31, 86.26609442060087%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 32, 86.94385593220339%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 33, 86.0248447204969%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 34, 86.14241803278688%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 35, 86.36133603238866%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 36, 86.3905325443787%
